           rhox         t           p          xne        xnatom        rho
    1   1.466E-08   5.095E+03   4.668E-01   4.430E+09   6.593E+11   1.409E-12
    2   5.376E-08   5.094E+03   4.674E-01   4.429E+09   6.602E+11   1.411E-12
    3   1.054E-07   5.094E+03   4.682E-01   4.429E+09   6.614E+11   1.414E-12
    4   1.734E-07   5.094E+03   4.693E-01   4.428E+09   6.629E+11   1.417E-12
    5   2.635E-07   5.093E+03   4.707E-01   4.427E+09   6.649E+11   1.421E-12
    6   3.826E-07   5.092E+03   4.725E-01   4.426E+09   6.676E+11   1.427E-12
    7   5.406E-07   5.091E+03   4.748E-01   4.424E+09   6.711E+11   1.434E-12
    8   7.503E-07   5.090E+03   4.780E-01   4.422E+09   6.758E+11   1.444E-12
    9   1.029E-06   5.088E+03   4.821E-01   4.419E+09   6.819E+11   1.458E-12
   10   1.402E-06   5.086E+03   4.876E-01   4.414E+09   6.900E+11   1.475E-12
   11   1.905E-06   5.081E+03   4.976E-01   4.394E+09   7.049E+11   1.507E-12
   12   2.594E-06   5.072E+03   5.139E-01   4.350E+09   7.295E+11   1.559E-12
   13   3.555E-06   5.059E+03   5.389E-01   4.281E+09   7.673E+11   1.640E-12
   14   4.949E-06   5.039E+03   5.755E-01   4.167E+09   8.232E+11   1.759E-12
   15   7.179E-06   4.975E+03   6.131E-01   3.538E+09   8.890E+11   1.900E-12
   16   1.129E-05   4.851E+03   6.562E-01   2.468E+09   9.773E+11   2.089E-12
   17   1.719E-05   4.875E+03   6.916E-01   2.738E+09   1.025E+12   2.191E-12
   18   2.098E-05   5.108E+03   6.811E-01   5.598E+09   9.603E+11   2.052E-12
   19   2.378E-05   5.263E+03   6.206E-01   8.368E+09   8.457E+11   1.807E-12
   20   2.642E-05   5.383E+03   5.753E-01   1.118E+10   7.630E+11   1.631E-12
   21   2.911E-05   5.471E+03   5.587E-01   1.391E+10   7.258E+11   1.551E-12
   22   3.222E-05   5.528E+03   5.784E-01   1.640E+10   7.415E+11   1.585E-12
   23   3.788E-05   5.531E+03   6.478E-01   1.752E+10   8.308E+11   1.776E-12
   24   5.068E-05   5.017E+03   1.068E+00   5.359E+09   1.537E+12   3.284E-12
   25   5.308E-05   4.871E+03   1.132E+00   3.494E+09   1.679E+12   3.590E-12
   26   5.689E-05   4.775E+03   1.177E+00   2.612E+09   1.783E+12   3.811E-12
   27   6.092E-05   4.759E+03   1.239E+00   2.545E+09   1.884E+12   4.026E-12
   28   6.511E-05   4.804E+03   1.314E+00   3.042E+09   1.979E+12   4.229E-12
   29   6.931E-05   4.889E+03   1.332E+00   4.025E+09   1.969E+12   4.208E-12
   30   7.333E-05   4.985E+03   1.330E+00   5.444E+09   1.927E+12   4.119E-12
   31   7.758E-05   5.058E+03   1.179E+00   6.385E+09   1.681E+12   3.594E-12
   32   9.527E-05   5.254E+03   5.691E-01   7.805E+09   7.767E+11   1.660E-12
   33   9.690E-05   5.279E+03   5.794E-01   8.451E+09   7.865E+11   1.681E-12
   34   1.041E-04   5.137E+03   6.163E-01   5.793E+09   8.632E+11   1.845E-12
   35   1.056E-04   5.094E+03   6.636E-01   5.299E+09   9.383E+11   2.005E-12
   36   1.079E-04   5.055E+03   7.346E-01   4.958E+09   1.048E+12   2.239E-12
   37   1.104E-04   5.018E+03   8.225E-01   4.689E+09   1.183E+12   2.528E-12
   38   1.133E-04   4.961E+03   9.103E-01   4.152E+09   1.325E+12   2.832E-12
   39   1.164E-04   4.901E+03   9.982E-01   3.604E+09   1.472E+12   3.145E-12
   40   1.196E-04   4.840E+03   1.030E+00   3.013E+09   1.538E+12   3.288E-12
   41   1.229E-04   4.776E+03   1.035E+00   2.447E+09   1.567E+12   3.350E-12
   42   1.261E-04   4.700E+03   9.540E-01   1.824E+09   1.468E+12   3.138E-12
   43   1.289E-04   4.637E+03   8.553E-01   1.388E+09   1.335E+12   2.853E-12
   44   1.314E-04   4.588E+03   7.343E-01   1.081E+09   1.158E+12   2.476E-12
   45   1.336E-04   4.589E+03   6.431E-01   1.012E+09   1.014E+12   2.167E-12
   46   1.355E-04   4.617E+03   5.663E-01   1.041E+09   8.874E+11   1.897E-12
   47   1.373E-04   4.681E+03   5.312E-01   1.255E+09   8.207E+11   1.754E-12
   48   1.389E-04   4.752E+03   5.036E-01   1.552E+09   7.661E+11   1.637E-12
   49   1.406E-04   4.837E+03   5.078E-01   2.061E+09   7.585E+11   1.621E-12
   50   1.422E-04   4.919E+03   5.182E-01   2.719E+09   7.603E+11   1.625E-12
   51   1.439E-04   4.997E+03   5.463E-01   3.568E+09   7.883E+11   1.685E-12
   52   1.456E-04   5.062E+03   5.711E-01   4.447E+09   8.128E+11   1.737E-12
   53   1.474E-04   5.112E+03   5.912E-01   5.259E+09   8.324E+11   1.779E-12
   54   1.502E-04   5.142E+03   6.044E-01   5.817E+09   8.456E+11   1.807E-12
   55   1.746E-04   5.046E+03   7.225E-01   4.782E+09   1.032E+12   2.206E-12
   56   1.759E-04   4.970E+03   7.307E-01   3.807E+09   1.061E+12   2.268E-12
   57   1.783E-04   4.884E+03   7.349E-01   2.906E+09   1.087E+12   2.324E-12
   58   1.806E-04   4.776E+03   7.307E-01   2.041E+09   1.106E+12   2.364E-12
   59   1.830E-04   4.659E+03   7.207E-01   1.367E+09   1.119E+12   2.392E-12
   60   1.855E-04   4.534E+03   7.055E-01   8.767E+08   1.126E+12   2.407E-12
   61   1.879E-04   4.462E+03   7.140E-01   6.857E+08   1.159E+12   2.476E-12
   62   1.905E-04   4.408E+03   7.308E-01   5.753E+08   1.200E+12   2.566E-12
   63   1.933E-04   4.431E+03   7.855E-01   6.494E+08   1.284E+12   2.743E-12
   64   1.962E-04   4.461E+03   8.455E-01   7.518E+08   1.372E+12   2.932E-12
   65   1.994E-04   4.509E+03   9.168E-01   9.272E+08   1.472E+12   3.146E-12
   66   2.028E-04   4.566E+03   1.009E+00   1.188E+09   1.600E+12   3.420E-12
   67   2.066E-04   4.638E+03   1.136E+00   1.623E+09   1.772E+12   3.788E-12
   68   2.110E-04   4.727E+03   1.319E+00   2.366E+09   2.019E+12   4.316E-12
   69   2.160E-04   4.828E+03   1.548E+00   3.580E+09   2.320E+12   4.958E-12
   70   2.216E-04   4.917E+03   1.796E+00   5.139E+09   2.640E+12   5.643E-12
   71   2.279E-04   5.003E+03   2.056E+00   7.194E+09   2.969E+12   6.346E-12
   72   2.380E-04   5.062E+03   2.232E+00   8.988E+09   3.185E+12   6.807E-12
   73   2.862E-04   5.300E+03   3.058E+00   2.098E+10   4.158E+12   8.887E-12
   74   2.921E-04   5.290E+03   3.106E+00   2.054E+10   4.233E+12   9.047E-12
   75   3.013E-04   5.276E+03   3.142E+00   1.989E+10   4.294E+12   9.178E-12
   76   3.132E-04   5.262E+03   3.173E+00   1.921E+10   4.349E+12   9.295E-12
   77   3.501E-04   5.076E+03   3.259E+00   1.138E+10   4.639E+12   9.916E-12
   78   3.731E-04   4.614E+03   3.102E+00   2.583E+09   4.867E+12   1.040E-11
   79   3.808E-04   4.515E+03   2.986E+00   1.831E+09   4.788E+12   1.023E-11
   80   3.908E-04   4.433E+03   2.869E+00   1.381E+09   4.686E+12   1.002E-11
   81   4.009E-04   4.457E+03   2.875E+00   1.489E+09   4.671E+12   9.984E-12
